"questions","answers"
"Can I get new glasses if I have bubble after retina surgery?","Following a vitrectomy or pneumatic retinopexy, it is recommended to wait until a gas bubble clears from the eye before getting a new eyeglasses prescription to ensure you get the correct prescription. Waiting for the gas to clear also allows your retina time to heal and for vision to recover from surgery. If it is an emergency (such as your current pair breaks), then it is fine to proceed with a new prescription."
"Can dry eyes cause double vision, especially when tired?","Yes. Double vision can happen when the brain gets two different images either from each eye or from within the same eye. While double vision is not the most common symptom of dry eye syndrome, the drier the eyes are, the fuzzier the image is. Sometimes this happens when a patient has subtle eye misalignment, but with the additional blur from dry eyes, now they notice their double vision. This can also be worsened with fatigue, which can affect the eye muscles."
"I've been diagnosed with calcium deposits behind my eyes. What causes this and what is the treatment, if any?","It is likely you have optic nerve head drusen, which are calcified lesions that sit directly in front of the optic nerve, which enters in the back of the eye. Optic nerve head drusen often form spontaneously, but can also be inherited. No treatment is necessary, as they typically remain asymptomatic. Very rarely they may cause changes in the eye that can cause vision loss, however this is extremely uncommon."
"Im experiencing intense itching mostly on the lower inner lid of one eye. This has been going on for about a month. What could it be?","Itching is commonly associated with allergies. Allergic itching can be effectively treated with over-the-counter eye drops or pills. Tears often help dilute irritants and may also be effective.</br>Another common cause of itching along the lid margin is blocked oil glands, or blepharitis. Regular eyelid hygiene with hot packs and baby shampoo can be effective for this type of problem.</br>See your ophthalmologist for an examination to diagnose and treat your specific issue."
"Why am I experiencing an intense itchy eyelid?","Itching is commonly associated with allergies. Allergic itching can be effectively treated with over-the-counter eye drops or pills. Tears often help dilute irritants and may also be effective.</br>Another common cause of itching along the lid margin is blocked oil glands, or blepharitis. Regular eyelid hygiene with hot packs and baby shampoo can be effective for this type of problem.</br>See your ophthalmologist for an examination to diagnose and treat your specific issue."
"Itchy eyelid","Itching is commonly associated with allergies. Allergic itching can be effectively treated with over-the-counter eye drops or pills. Tears often help dilute irritants and may also be effective.</br>Another common cause of itching along the lid margin is blocked oil glands, or blepharitis. Regular eyelid hygiene with hot packs and baby shampoo can be effective for this type of problem.</br>See your ophthalmologist for an examination to diagnose and treat your specific issue."
"Itching in eyelid","Itching is commonly associated with allergies. Allergic itching can be effectively treated with over-the-counter eye drops or pills. Tears often help dilute irritants and may also be effective.</br>Another common cause of itching along the lid margin is blocked oil glands, or blepharitis. Regular eyelid hygiene with hot packs and baby shampoo can be effective for this type of problem.</br>See your ophthalmologist for an examination to diagnose and treat your specific issue."
"Eyelids are irritating","Itching is commonly associated with allergies. Allergic itching can be effectively treated with over-the-counter eye drops or pills. Tears often help dilute irritants and may also be effective.</br>Another common cause of itching along the lid margin is blocked oil glands, or blepharitis. Regular eyelid hygiene with hot packs and baby shampoo can be effective for this type of problem.</br>See your ophthalmologist for an examination to diagnose and treat your specific issue."
"Why spectacles are uncomfortable fro some people","There are may reasons why people feel uncomfortable using spectacles</br>Image minification or maginfication</br>Cosmetic Stigma</br>Frequent breackage or loss leads to financial burden</br>Difficulty in peripheral vision</br>Difficulty of vision in rainy and foggy atnosphere</br>


"
"Why are contact lenses not suitable for some people","It differes from person to person but the most probable reasosn are as below</br>It casue inflammation and infection</br>It is expensive and needs to be changed periodically</br>Not suitable for certain professions like sports, army, raliwlays and pilots</br> requires extra care to handle it</br>Causes corneal vascularization after long usage</br>An alternative visual aid or procedure is required to overcome above advnatages. Laser vision correction (LASIK) procedures fulfill the need amd desire of galsses or contact lenses free vision by some extent removing the loopholes of glasses and contact lenses
"
"What is Lasik","It is an outpatient surgical procedure used to treat near sightedness(myopia), farsightedness(hypermetropia) and astimagtism to get normal vision. In Lasik, laser is used to reshape the cornea, which is located at the front of the eye and the eye can properly focus the light rays on the retina at the back for better vision"
"How laser works","The laser excimer laser is used to chnage the shape of the cornea by selective tissue ablation(removal) and surface polishing, reslting in chanfing of the focusing pwer of eye and eliminate the refractive error of the eye</br>A hinged flap is created using the top layer of your cornea</br>An FDA approved laser reshapes you cornea to correct your vision</br>The flap is folded back over your cornea</br>Excimer laser is used in laser vision correction procedure. it is cold , safe and superficial laser which causes little damage to the cornea"
"What is lasik procedure","Eye is made numb with a few drops of tropical anesthesia</br>The patient is reclined under a excimer/laik machine</br>An eyelid speculum is placed between the eyelids to keep them open</br>A suction ring is placed on the eye which lifts and flattens the cornea 
and prevents the eye form moving</br>Microkeratome balde or fematolaser is used to create a hinged flap of paper-thin
corneal issue</br>The corenal flap is lifted and folded back</br>The laser sculpts the exposed corenal tissue, which is pre-programmed with the
measurement of your eye</br>This flap is replaced in position and the edges are smoother</br>Vision is restored in a few minutes and you cna get abck to your work shortly without glasses
"
"What is PRK and Lasek","Both these procedures are less popular, casue pain and gave slower visual recovery than lasik, but some patients are more benefitted from these procedure and it is recommended for such patients</br>Ask the doctor or our center for further information and advise,which procedure is appropirate for you</br>Step 1: Alongsde numbing drops, an alcohal solution is placed on the eye to help soften the cornea</br>Step 2: The surgeon then smooths the surface of the cornea with a special surgical instrument</br>Step 3: An excimer laser is then used to precisely reshape the curvature of the cornea's surface</br>Step 4: A bandage-like soft contact lense is then palced on the cornea to help protect the eye it heals"
"Whatr are the available LASIK options","Available various LASIK options are as below:</br>1) Conventional / Standard Lasik :- It only removes the refractory error or your glass power and causes night vision difficulties such as glare and halocs.</br>2) Topolink :- In this procedure, Laser uses topographic map of cornea and causes minimal changes in the shape of cornea. After this procedure, Patient feels negligible amount of night vision difficulties. .</br>3) Wavefront-Guided customized Lasik :- This procedure gives customize treatment treatment for individual eye by removing lower order aberration (Sphere and cylinder) higher order aberrations (Coma and tefoil) and also cause minimal change in the shape of cornea, hence giving excellent vision in low contrast and night conditions. Sometimes it gives more than normal vision, ever seen before."
"Who can go for LASIK treatment","Following people can go for LASIK:</br>Person having more than 18 years of age</br> Glasses or eye prescription has not changed in past one year</br> Normal and clear cornea</br> Refractive errors within the range of Lasik for example spherical-0 to -12.0D and +0.0 to +5.0D, Cylindrical +/-0 to 5.0 D"
"Who can opt for LASIK treatment","Following people can go for LASIK:</br>Person having more than 18 years of age</br> Glasses or eye prescription has not changed in past one year</br> Normal and clear cornea</br> Refractive errors within the range of Lasik for example spherical-0 to -12.0D and +0.0 to +5.0D, Cylindrical +/-0 to 5.0 D"
"How much time the LASIK procedure will take","It will take hardly ten to fifteen minutes in which both eyes are treated together in one sitting. </br> This procedure is done without injection by only using eye drops to anesthetise the eye and is not painful. You may feel a little irritation and foreign body sensation in the eyes for few hours after the procedure"
"Who can not go for LASIK treatment","People with the below issues should not go for LASIK </br> 1) Dry eye - patients with severe dry eye,older person and menopausal woman,patients with immune system disorders, hormone replacement therapy and modification like antidepressants or blood pressure lowering agents. </br> 2) Large Pupil size - In lower light, large pupil causes durbing visual symptoms like glare and halos</br> 3) Keratoconus and thin corneas - Patients with this degenerative corneal condition, or a family history of this disorder.</br> 4) Degree of refractive errors- Very high levels of refractive error (Myopia, hypermetropia, Astigmatism or certain combinations of these errors) may not be compatible with lasik.</br> 5) Age- The ideal age for Lasik is over 18 years, since the refractive error is more likely to be changing below this age.</br> 6) Pregnancy- Pregnant or nursing woman are not a good candidate for Lasik.</br> 7) Cataract, Glaucoma or any retinal diseases are contraindicated for Lasik procedure.
"
"Who should not go for LASIK treatment","People with the below issues should not go for LASIK </br> 1) Dry eye - patients with severe dry eye,older person and menopausal woman,patients with immune system disorders, hormone replacement therapy and modification like antidepressants or blood pressure lowering agents. </br> 2) Large Pupil size - In lower light, large pupil causes durbing visual symptoms like glare and halos</br> 3) Keratoconus and thin corneas - Patients with this degenerative corneal condition, or a family history of this disorder.</br> 4) Degree of refractive errors- Very high levels of refractive error (Myopia, hypermetropia, Astigmatism or certain combinations of these errors) may not be compatible with lasik.</br> 5) Age- The ideal age for Lasik is over 18 years, since the refractive error is more likely to be changing below this age.</br> 6) Pregnancy- Pregnant or nursing woman are not a good candidate for Lasik.</br> 7) Cataract, Glaucoma or any retinal diseases are contraindicated for Lasik procedure.
"
"What are the side effects of LASIK","Side effects are very few which disappear within three to six months after the surgery.</br> Discomfort or pain</br> Dry Eye</br> Discomfort or pain</br> Hazy or blurry vision</br> Poor night Vision</br> Ghalos or star burst around lights</br> Small pink or red Patches on the white or red patches"
"What are the complications of LASIK","Lasik has been performed on millions of patients in India in the past 15 years and the overall rate of complications is low and most Lasik complications can be treated without any vision loss.</br> 1) Infection and inflammation-These can usually be cleaned up with medications</br> 2) Problems with the corneal Flap - Might need additional surgery</br> 3) Ectasia or bulging of cornea</br> 4) Over or under-correction of the refractive errors, in such instances person might need to wear corrective lenses for some activities or need a refractive surgery to get desired results."
"Why MEL 80 Excimer Lasr Lasik Machine & AASTHA Laser Center","MEL 80 Excimer Laser machine from CARL ZEISS, Germany have many benefits as compared to all the other alternatives"
"What is LENS","The Lens is a clear part of the eye that focus light, or  an image on the rena. (In a normal eye, once the  light reaches the rena, it is changed into nerve  signals that are sent to the brain) </br>If the Len is cloudy from a cataract , the image received by the rena will be blurred."
"What causes cataract","Most cataract are related to aging, cataract are very common in older people</br>Cataract also occcur due to</br>1) Genetic Inheritence </br>2) Eye injuries and eye surgeries</br>3)Dieseases like diabetes,kindney diseases etc.</br>4)Prolonged use of certain medications like steriods"
"Who is at risk for cataract","People with increasing age, diseases like diabetes, kidney diseases, habits of smoking and prolonged exposure to ultraviolet sunlight are at more risk of cataract"
"When are you most likely to have a cataract","People can have an age-related cataract in their 40s and 50s, but during middle age,  most cataracts are small and do not affect vision, over the age 60 light passing through the lens  gets reduced upto 50%, and that cause problem with a persons vision. If the cataract  interferes with your regular acvies, one can go for surgery."
"What are the different types of cataract","Different type of cataract are as follows:</br>1)Secondary Cataract - Â Cataract occur after surgery for other eye problems such asÂ glaucoma, retina surgery, after diseases like diabetes or prolonged use of steroid</br> 2)Traumatic Cataract </br> 3) Congenital Cataract : Some babies are born with cataract or develop them in childhood, often in both eyes, these cataract are to small that they do not affect vision, if they do, the lenses may need to be removed</br>4) Radiation Cataract"
"What is the morpholigcal classification of cataract","Morphological classification of cataract are as follows: </br> Soft Cataract or Cortical</br>Anterior and Posterior Subcapsular Cataract</br>Posterior Polar Cataract</br>Mature Cataract</br>Hypermature Cataract</br>Brown/Hard Cataract</br>Black Cataract</br>Rate of complica`on, failure of surgery and vision loss increases with the advancement of Cataract"
"How is cataract treated","The symptoms of early cataract are treated with new eyeglasses, bright lighting, anti-glare glasses or magnifying glasses.</br> However cataract surgery is the only effective treatment of cataract in which cloudy lense is removed & replaced with artificial lens (IOL).
"
"When is cataract removed","Cataract should be removed when vision loss does not improve even with spectacles, interferes with your everyday activities, such as driving, reading or watching television.</br>Sometimes cataract should be removed if it prevents examination or treatment of another eye condition such as glaucoma , age related macular degeneration or diabetic retinopathy"
"What are the different types of Cataract surgery","1)Extra Capsular Cataract extraction (ECCE)</br>This is an old technique of cataract surgery, not used now a days.</br>In this technique the cataract is removed in one piece through 9-10 mm large incision and the incision is closed with 5-6 s</br>Healing and stabilisation of vision will take 6-8 weeks after surgery</br></br>2) Manual small incision Cataract surgery (MSICS) This method/technique is low cost, quick or fast associated with higher chances of infection and astigmatism and most commonly performed in underdeveloped and developing countries</br>3) Phacoemulsification</br>This is a modern cataract surgical technique, most commonly performed all over the world.</br>This technique is fast, best, safe, painless with speedy recovery and have low rate of infection.</br>It is performed by world class higher end Phaco Machine with better control of parameters</br>This technique is preferred in patients having diabetes, asthma, glaucoma, thyroid, hypertension, heart diseases"
"What is Extra capsular cataract extraction","This is an old technique of cataract surgery, not used now a days.</br>In this technique the cataract is removed in one piece through 9-10 mm large incision and the incision is closed with 5-6 s</br>Healing and stabilisation of vision will take 6-8 weeks after surgery, chances of infection and eye glasses for distance and near are there"
"What is ECCE","This is an old technique of cataract surgery, not used now a days.</br>In this technique the cataract is removed in one piece through 9-10 mm large incision and the incision is closed with 5-6 s</br>Healing and stabilisation of vision will take 6-8 weeks after surgery, chances of infection and eye glasses for distance and near are there"
"What is Manual small incision cataract surgery ","This method/technique is low cost, quick or fast associated with higher chances of infection and astigmatism and most commonly performed in underdeveloped and developing countries.<br/>This technique is performed in brown/black cataract, small pupil, sublocated/dislocated cataract with posterior capsular rent</br>In this technique injection of anaesthetic agent is given to do the surgery and sometimes stiches/sutures are taken to close the incision</br>In this technique, cataract is removed through 6 mm of scleral incision manually without phaco machine and lens/IOL is inserted through same stitches are taken to close it."
"What is MSICS","This method/technique is low cost, quick or fast associated with higher chances of infection and astigmatism and most commonly performed in underdeveloped and developing countries.<br/>This technique is performed in brown/black cataract, small pupil, sublocated/dislocated cataract with posterior capsular rent</br>In this technique injection of anaesthetic agent is given to do the surgery and sometimes stiches/sutures are taken to close the incision</br>In this technique, cataract is removed through 6 mm of scleral incision manually without phaco machine and lens/IOL is inserted through same stitches are taken to close it."
"What is Phacoemulsification","This is a modern cataract surgical technique, most commonly performed all over the world.</br>This technique is fast, best, safe, painless with speedy recovery and have low rate of infection.</br>It is performed by world class higher end Phaco Machine with better control of parameters, through 2.2 to 2.8mm of very small incision and with tropical anaesthetic drops without having infection</br>This technique is preferred in patients having diabetes, asthma, glaucoma, thyroid, hypertension, heart diseases.</br>This technique is performed in all types and all grades of cataract particularly soft cataract, posterior polar, mature cataract, cataract in small pupil and complicated cataract.</br>There is no need to take stitches/sutures to close the incision as they are self-sealing, they eventually will close by themselves overtime.</br>Patient will have to rest for about 15-30 minutes and then can go home."
"What happens before cataract surgery"," It is important to check-up your eyes to establish the diagnosis and to rule out other eye associated eye conditions</br> Your doctor will do some tests before surgery which include measuring the curvature and size and shape of your eye, this information will help to choose the right Intraocular Lens (IOL) to restore your Vision.</br> Your doctor may ask for complete retinal examination before surgery if needed</br> A thorough physical examination by physician to rule out diabetes, hypertension, Asthma, Heart & Rental problems, Chest Diseases or Drug allergies, If it needed by ophthalmologist and alert anaesthetist to these medical risks."
"What happens during cataract surgery"," You may be asked not to eat or drink before your surgery.</br>At the hospital, drops will be put into your eye to dilate the pupil one hour before the surgery, and other drops are put 5 minutes before and during surgery to numb your eye. </br>The operation usually lasts less than one hour and is almost painless.</br>You will see bright light and hear different sounds of phaco machine during the  surgery but dont be afraid of this. </br>After the operation a patch is placed over your eye, rest for a while and then can go  home same day. You will need someone to drive home. "
"What happens after cataract surgery","You will have some itching, mild discomfort and fluid discharge after Cataract Surgery.</br>You may feel some bright light and slight pain while touch your eye after surgery, which will disappear after few days. </br>For few weeks after surgery, your doctor may ask you to use few drops to help healing and  decrease the risk of infection.</br>You will have to use eyeglasses to protect your eye from dust, wind and bright light.</br>Just avoid rubbing or pressing your eye, bending from waist or lifting heavy objects</br>You can walk, climb stairs and do light house hold work.</br> In most cases, healing will be completed within six to eight weeks and your vision should be improved to normal, however you may require glasses for fine vision."
" What are the risks and problems of Cataract Surgery","As with any surgery, Cataract surgery poses risks, such as infection and bleeding, your doctor may ask you to stop some medication help to prevent bleeding during surgery. You must keep your eye clean, wash your hands before touching your eyes and to use prescribe medication drops to minimise the risk of function</br> Retinal detachment, corneal damage and nucleus drop are the some rarely occurring sight threatening complication however optimal outcome can be achieved by  timely and proper management.</br> 99% success rate can be achieved now a days after present modern cataract surgery and person can have even more than normal vision as ever before."
"What can I do to protect my vision","Wearing Sunglasses and a hat to block ultraviolet sunlight which will delay the Cataract.</br> Studies highlighted, to have good nutrition and  quit smoking reduce the rate of age related cataract formation.</br> After the age of 60 years, you should have dilated eye examination every two years to check for the signs of age related macular degeneration, Glaucoma and other vision disorders along with Cataract."
"What type of lens material are used in eye","Mainly two types of lens materials are used in eye</br>1)Silicone - Made up of Poly Dimethyl Siloxane</br>2) PMMA (Poly Methyl Metha Acrylate) "
"Wha are the types of acrylic lenses","PMMA (Poly Methyl Metha Acrylate) - If the Acrylic Co-polymer material used in manufacturing of IOL (lens) having temperature below glass transition temperature than it has rigid properties, and so called as rigid acrylic IOLs .</br> Foldable Acrylic IOLs :- The temperature of co-polymer is above glass transition temperature than it has flexible properties, and called Foldable Acryclic IOLs</br> Hydrophilic Acrylic IOLs (Hydrogels) :- If foldable Acrylic Co-polymer having high water content of about 18 to 38 percent than it becomes Hydrophilic Acrylic IOLs. It has refractive index of 1.47 which makes it thinner makes it thinner than silicone(1.41) lenses</br> These lenses are associated with higher rate of reaction and PCO due to its low uveal and capsular biocompatibility</br> Hydrophobic Acrylic IOLs :- If foldable acrylic co polymers having lower water content of about 1 percent than it becomes hydrophobic Acrylic IOLs."
"What is glistening","Glistening - these are fluid filled microvacuoles in the IOL optic which is surrounded by aqueous environment in the eye.</br> These lenses are associated with higher rate of glistening however it can be reduced by increasing the refractive index (1.54) and water content 4% of acryclic material"
"What is PMMA","PMMA (Poly Methyl Metha Acrylate) - If the Acrylic Co-polymer material used in manufacturing of IOL (lens) having temperature below glass transition temperature than it has rigid properties, and so called as rigid acrylic IOLs ."
"What is Poly Methyl Metha Acrylate","PMMA (Poly Methyl Metha Acrylate) - If the Acrylic Co-polymer material used in manufacturing of IOL (lens) having temperature below glass transition temperature than it has rigid properties, and so called as rigid acrylic IOLs ."
"What is Foldable Acrylic IOL","The temperature of co-polymer above glass transition temperature than it has flexible properties, and so called Foldable Acryclic IOLs"
"What are Hydrophilic Acrylic IOLs","If foldable Acrylic Co-polymer having high water content of about 18 to 38 percent than it becomes Hydrophilic Acrylic IOLs. It has refractive index of 1.47 which makes it thinner makes it thinner than silicone(1.41) lenses</br> These lenses are associated with higher rate of reaction and PCO due to its low uveal and capsular biocompatibility"
"What are hydrogels","If foldable Acrylic Co-polymer having high water content of about 18 to 38 percent than it becomes Hydrophilic Acrylic IOLs. It has refractive index of 1.47 which makes it thinner makes it thinner than silicone(1.41) lenses</br> These lenses are associated with higher rate of reaction and PCO due to its low uveal and capsular biocompatibility"
"What are Hydrophobic Acrylic IOLs ","If foldable acrylic co polymers having lower water content of about 1 percent than it becomes hydrophobic Acrylic IOLs.</br>These lenses are associated with lesser rate of reaction and PCO formation due to its higher uveal and capsular biocompatibility"
"What are spherical IOLs","The human eyes Natural lens is aspheric (not spherical).</br>Spherical IOLs have spherical optical design in which the front/anterior surface of IOL is uniformly curved from the center of lens to its periphery. This design does not mimic the shape of natural human lens inside the eye.</br>A Spherical Intraocular lens can induce minor optical imperfections called higher order aberrations (HOA), which can affect quality of vision, particularly in low light condition such as driving at night or working in evening or low light."
"What is aspheric IOLs","Aspheric IOLs because of its special design and prolate anterior surface match more closely the shape and optical quality of human eyes natural 
lens, they can provide sharper vision especially in low light condition and for people with large pupils which is also approved by USFDA"
"What is presbyopia","Around the age of 40, the natural human lens of eye begins to harden and become less flexible, which reduce from near, far inbetween and back again."
"What are the signs of presbyopia","Loss of ability to read.</br> Difficulty in viewing a computer screen.</br> Holding objects farther away to read.</br> Holding objects farther away to read"
"What are the type of lenses","Cataracts are removed during the surgery and replace with an Intraocular Lens.</br> There are different types of Lenses (IOLs) available.</br> (A) Monofocal Lens (IOLs):- Lens that treat only cataracts are called Monofocal Lenses. These lenses provide good distance vision but require reading glasses to see up close.</br> (B) Multificoal Lens (IOLs):- The Lens that treat cataract as well as Presbyopia are called Multifocal Lens. These Lenses provide full range of vision for distance - for viewing computer screen and near - for viewing mobile phone</br> (C) Toric Lenses (IOLs):- The lens that treat cataracts, as well as astigmatism are called Toric Lens. If it treat presbyopia along with cataract and astigmatism it is called Toric Multifocal IOL<br> These lenses provide sharper vision for distance in monofocal toric IOLs and for full range of vision in Multifcoal Toric IOLs"
"What are the type of IOLs","Cataracts are removed during the surgery and replace with an Intraocular Lens.</br> There are different types of Lenses (IOLs) available.</br> (A) Monofocal Lens (IOLs):- Lens that treat only cataracts are called Monofocal Lenses. These lenses provide good distance vision but require reading glasses to see up close.</br> (B) Multificoal Lens (IOLs):- The Lens that treat cataract as well as Presbyopia are called Multifocal Lens. These Lenses provide full range of vision for distance - for viewing computer screen and near - for viewing mobile phone</br> (C) Toric Lenses (IOLs):- The lens that treat cataracts, as well as astigmatism are called Toric Lens. If it treat presbyopia along with cataract and astigmatism it is called Toric Multifocal IOL<br> These lenses provide sharper vision for distance in monofocal toric IOLs and for full range of vision in Multifcoal Toric IOLs"
"What are monofocal IOLs","It gives clear distance vision, It means one should see clearly sign board on road, images in cinema or Television from distance.</br> You will need glasses for intermediate vision tasks such as reading, writing or seeing telephone fonts</br> You may need glasses for near vision activities such as working on computer or i-pads, doing painting , seeing speedometer while driving, putting on make-up or shaving."
"What are multifocal IOLs","In these type of IOLs the light is distributed into two (bifocal), three (trifocal), four (quadrifocal) or contionous range of (EDOF) according to the name of IOLs.</br> We use USFDA approved lenses"
"What are bifocal IOLs","These are used to remove glasses for distance and near.</br> The light distributed in to two focal points one for distance and one for near to see the objects clearly at distance and near. However intermediate vision is compromise.</br> Due to multiple rings, the light is divided in to two focal points, so that the patient feel low contrast, halos, glare and starburst</br> These lenses provide sharper vision for distance in monofocal toric IOLs and for full range of vision in Multifocal Toric IOLs"
"What are trifocal lens","All these lenses are recently invented by using modern manufacturing technology, which gives clear & sharp vision for all distance.</br> The light distributed in three focal points in trifocal IOLs, four focal points in quadrufocal IOLs and continuous range in EDOF/Sypmfony(Extended Depth of Focus) IOLs, to give clear vision at distance, Intermediate and near.</br> Some patients s need glasses for very near vision / close work at 25 cm.</br> It give good vision in low light conditions and it has been observed in studies that these lenses cause less amount of halos, glare and starburst."
"What are quadrfocal lens","All these lenses are recently invented by using modern manufacturing technology, which gives clear & sharp vision for all distance.</br> The light distributed in three focal points in trifocal IOLs, four focal points in quadrufocal IOLs and continuous range in EDOF/Sypmfony(Extended Depth of Focus) IOLs, to give clear vision at distance, Intermediate and near.</br> Some patients s need glasses for very near vision / close work at 25 cm.</br> It give good vision in low light conditions and it has been observed in studies that these lenses cause less amount of halos, glare and starburst."
"What is EDOF","All these lenses are recently invented by using modern manufacturing technology, which gives clear & sharp vision for all distance.</br> The light distributed in three focal points in trifocal IOLs, four focal points in quadrufocal IOLs and continuous range in EDOF/Sypmfony(Extended Depth of Focus) IOLs, to give clear vision at distance, Intermediate and near.</br> Some patients s need glasses for very near vision / close work at 25 cm.</br> It give good vision in low light conditions and it has been observed in studies that these lenses cause less amount of halos, glare and starburst."
"What is Astigmatism","Normally, Cornea is round in shape, like a baseball. Astigmatism occurs when the cornea is shape more like an egg or american baseball. When light passes through a cornea with astigmatism the image doesn't focus sharply on the retina causing blurred vision."
"What causes astigmatism","The cause of Astigmatism is not known, It may be present since birth as may also result post eye surgery or trauma"
"Who are the candidates for Toric IOL Surgery","Candidates for Toric IOL surgery are as  below:</br>Have greater than or equal to 1.0 D astigmatism</br> Present preoperative regular astigmatism</br> Have an intact capsular bag</br> Have had no previous refractive surgery</br> Have no prexisting ocular pathology</br> Desire improve distance with less dependence on glass"
"How can an Intraocular Lens (IOL) correct both Astigmatism and cataract","Standard Monofocal or Multifocal IOLs can improve vision by replacing cataractous natural lens of the eye but need glasses or contact lens to correct astigmatism.</br> Toric IOLs , like monofocal or multifocal IOLs replace eyes cataractous lens but also help to correct astigmatism at the same time.</br> Special Techniques and preoperative examination are done to find the amount and axis of astigmatis.</br> The Toric IOLs have marking of axis on their anterior surface which should be aligned during the surgery with pre-operative marking placed over cornea at the axis of astigmatism thereby neutralising the amount of corneal astigmatism with toril IOLs"
"Can I get my cataract surgery done during the summers or rainy season?","Cataract or other surgeries on the eye can be performed at any time of the year. The weather conditions (heat or humidity or excessive cold) have no effect whatsoever on the outcome or performance of the surgical procedure."
"My cataract has not matured yet. Should I be considering surgery at the moment?","Cataract surgery can be performed anytime when it causes difficulty in vision. The concept of a cataract reaching the stage of maturity (or becoming ripe) is a very old one, and dates back about thirty years to the 1980s when surgery used to be performed manually with large incisions, and required stitches. In present times, cataract surgery is generally stitch-less. It is actually best to get a cataract operated before the stage of maturity.  The surgery at this stage is easier to perform, and much less likely to cause complications."
"I got my left eye operated for cataract last week, and since then have been sitting in a dark room away from light. For how much more time do I need to avoid light?","Visible light does not harm the eyes after cataract surgery. One can sit in a normally lit room, and even watch television and use computers. Dark glasses after surgery are usually meant for protection against dust and injury."
"Iâ€™m a thirty-year-old woman and wear spectacles since the last 15 years. My spectacle number is -3. Can I get rid of my number by eating healthy food, or with medicines?","It is not possible to reduce or eliminate ones refractive error (â€œnumberâ€) by any dietary supplement or medicines. Green leafy vegetables, carrots and other food products are otherwise healthy for your eyes, but they do not help in reducing the number. It can only be removed or reduced by refractive surgery like LASIK."
"I have a twelve-year-old daughter who wears spectacles since the last four years. Her number has changed twice. What can I do to make sure that it does not change again?","Children usually grow physically till the age of 18-19 years. Physical growth of the body is accompanied by growth of the eyes, and this is responsible for a change in number of spectacles. It is, therefore, not possible to stop the number from changing. However, in most people, it stabilizes by 18 or 19 years of age."
"Iâ€™m a diabetic patient since the last ten years. Is it possible for me to undergo cataract surgery?","Yes, diabetic patients can safely undergo cataract surgery provided the blood sugar levels are under control."
"My diabetes is well under control with medicines and exercise. Can my eyes still get affected by diabetes?","Diabetes can affect the retina of the eyes, causing what is technically known as Diabetic Retinopathy. It can happen with well-controlled sugar levels as well. So regular check-ups, especially for the retina, are mandatory for all diabetics."
"I work on my laptop for 8 to 10 hours a day. What can do to prevent it from reducing my eyesight?","Excessive use of computers does not reduce oneâ€™s eyesight. It can merely cause problems like dryness of eyes, redness, watering, eyestrain or headaches (Computer Vision Syndrome). To avoid such issues, maintain a proper distance from the screen, use a comfortable level of brightness, take short breaks while working for long periods, and maintain a good posture."
" My father lost his eyesight a couple of years ago due to glaucoma. Can an eye transplant restore his vision?","An eye transplant principally refers to a corneal transplant, where the front part of the eye, the cornea, is replaced. The entire eye is never transplanted/replaced. So this is helpful only when vision is affected by corneal disease. Eyesight once lost due to glaucoma cannot be restored."
"Iâ€™m a perfectly healthy individual with no problems with my eyesight. Do I still need regular eye checkups?","Many conditions that affect the eye, like glaucoma, have no symptoms at all, and are detected incidentally on routine examination. Regular eye checkups help to diagnose such problems early, so that adequate treatment measures can be taken timely, which may help minimize loss of vision."
"My brother recently developed â€œeye-fluâ€. Will the infection spread to me if I look directly into his eyes?","An â€œeye-fluâ€, technically termed â€œConjunctivitisâ€ is an infection of the outer part of the eye, the Conjunctiva. Infection usually spreads by infected discharge, through dirty hands, handkerchiefs or other objects, through touch. Looking at an infected eye does not spread the infection."
"Does sitting close to the television damage oneâ€™s eyesight?","Sitting at a very close distance to the television set may cause eyestrain and headache, but is not known to damage the eyes or cause deterioration of vision. Sitting close and watching, however, may be a symptom of myopia or near-sightedness."
"Cost of lasik surgery","Cost depends on the surgical package you have opted for as well as your doctor's opinion after all tests are done. For more details, please connect with the hospital reception."
"Cost of cataract surgery","Cost depends on the surgical package you have opted for as well as your doctor's opinion after all tests are done. For more details, please connect with the hospital reception."
"cost of glaucoma surgery","Cost depends on the surgical package you have opted for as well as your doctor's opinion after all tests are done. For more details, please connect with the hospital reception."
"cost of retinal surgery","Cost depends on the surgical package you have opted for as well as your doctor's opinion after all tests are done. For more details, please connect with the hospital reception."
"cost of dry eye treatment","Cost depends on the treatment plan you have opted for as well as your doctor's opinion after all tests are done. For more details, please connect with the hospital reception."
"i have red eye","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"watery eyes","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"Information about Lasik laser surgery in Hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0pEtsl4yQeo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
